ratio_edge_cases.log created successfully
============================================

BOSCHLTD Mar 2020 | ROCE Difference=13.59% | Category: Formula Difference
BOSCHLTD Mar 2021 | ROE Difference=11.09% | Category: Version Difference
BOSCHLTD Mar 2021 | ROCE Difference=15.69% | Category: Formula Difference
BOSCHLTD Mar 2022 | ROCE Difference=9.21% | Category: Formula Difference
BOSCHLTD Mar 2023 | ROCE Difference=7.67% | Category: Formula Difference
BPCL Mar 2013 | ROE Difference=30.36% | Category: Version Difference
BPCL Mar 2013 | ROCE Difference=20.56% | Category: Formula Difference
BPCL Mar 2014 | ROE Difference=21.05% | Category: Version Difference
BPCL Mar 2014 | ROCE Difference=11.25% | Category: Formula Difference
BPCL Mar 2015 | ROE Difference=19.38% | Category: Version Difference
BPCL Mar 2015 | ROCE Difference=9.58% | Category: Formula Difference
BPCL Mar 2016 | ROE Difference=12.80% | Category: Version Difference
BPCL Mar 2017 | ROE Difference=11.05% | Category: Version Difference
BPCL Mar 2018 | ROE Difference=15.16% | Category: Version Difference
BPCL Mar 2018 | ROCE Difference=5.36% | Category: Formula Difference
BPCL Mar 2019 | ROE Difference=19.90% | Category: Version Difference
BPCL Mar 2019 | ROCE Difference=10.10% | Category: Formula Difference
BPCL Mar 2020 | ROE Difference=31.86% | Category: Version Difference
BPCL Mar 2020 | ROCE Difference=22.06% | Category: Formula Difference
BPCL Mar 2021 | ROE Difference=9.56% | Category: Version Difference
BPCL Mar 2022 | ROE Difference=19.39% | Category: Version Difference
BPCL Mar 2022 | ROCE Difference=9.59% | Category: Formula Difference
BPCL Mar 2023 | ROE Difference=37.92% | Category: Version Difference
BPCL Mar 2023 | ROCE Difference=28.12% | Category: Formula Difference
BPCL Mar 2024 | ROE Difference=6.39% | Category: Version Difference
BRITANNIA Mar 2013 | ROE Difference=10.51% | Category: Version Difference
BRITANNIA Mar 2014 | ROE Difference=7.60% | Category: Version Difference
BRITANNIA Mar 2015 | ROCE Difference=6.44% | Category: Formula Difference
BRITANNIA Mar 2016 | ROE Difference=17.66% | Category: Version Difference
BRITANNIA Mar 2016 | ROCE Difference=9.46% | Category: Formula Difference
BRITANNIA Mar 2017 | ROE Difference=24.27% | Category: Version Difference
BRITANNIA Mar 2017 | ROCE Difference=16.07% | Category: Formula Difference
BRITANNIA Mar 2018 | ROE Difference=27.62% | Category: Version Difference
BRITANNIA Mar 2018 | ROCE Difference=19.42% | Category: Formula Difference
BRITANNIA Mar 2019 | ROE Difference=29.94% | Category: Version Difference
BRITANNIA Mar 2019 | ROCE Difference=21.74% | Category: Formula Difference
BRITANNIA Mar 2020 | ROE Difference=25.44% | Category: Version Difference
BRITANNIA Mar 2020 | ROCE Difference=17.24% | Category: Formula Difference
BRITANNIA Mar 2022 | ROCE Difference=10.37% | Category: Formula Difference
BRITANNIA Mar 2023 | ROE Difference=8.43% | Category: Version Difference
BRITANNIA Mar 2023 | ROCE Difference=16.63% | Category: Formula Difference
BRITANNIA Mar 2024 | ROCE Difference=5.25% | Category: Formula Difference
CANBK Mar 2013 | ROE Difference=6.00% | Category: Version Difference
CANBK Mar 2013 | ROCE Difference=5.27% | Category: Formula Difference
CANBK Mar 2014 | ROE Difference=9.05% | Category: Version Difference
CANBK Mar 2015 | ROE Difference=8.88% | Category: Version Difference
CANBK Mar 2016 | ROE Difference=25.72% | Category: Version Difference
CANBK Mar 2016 | ROCE Difference=14.45% | Category: Formula Difference
CANBK Mar 2017 | ROE Difference=13.83% | Category: Version Difference
CANBK Mar 2018 | ROE Difference=28.40% | Category: Version Difference
CANBK Mar 2018 | ROCE Difference=17.13% | Category: Formula Difference
CANBK Mar 2019 | ROE Difference=16.05% | Category: Version Difference
CANBK Mar 2020 | ROE Difference=22.56% | Category: Version Difference
CANBK Mar 2020 | ROCE Difference=11.29% | Category: Formula Difference
CANBK Mar 2021 | ROE Difference=13.16% | Category: Version Difference
CANBK Mar 2022 | ROE Difference=9.10% | Category: Version Difference
CANBK Mar 2023 | ROCE Difference=7.90% | Category: Formula Difference
